text,Text type
"Tafatt, banal og full av nødrim
Alexander Rybak på randen av artistisk selvmord. 

||| 

LÅT: 
Det er ikke småtteri hva en fiolin, et bredt smil og en over gjennomsnittet vanedannende melodi kan utrette. 
Om litt over en uke benker over 100 millioner seere seg foran TV-apparatet for å bivåne musikalske postkort fra hele Europa. 
Sendt fra Oslos nye storstue, Telenor Arena. 

Det skal Alexander Rybak ha all ære for. 

Ett år har gått, og den frittalende MGP-helten har allerede begynt å snakke om å abdisere som popartist. 
Avgangen kan komme fortere enn forventet. 
Skal man dømme etter «Oah», Rybaks ode til «en altfor ung jente», er han på god vei til artistisk selvmord. 

Ingen unnskyldningKatastrofale «Fela igjen» var muligens et humoristisk sidespor, i så måte er det ikke mye bot å hente i «Oah». 
Musikalsk er den minst like banal, uten selvironialibiet å gjemme seg bak. 

Med håndklapp, ompakomp og gneldrende fioliner, lekser Rybak i vei den ene loslitte kjærlighetserklæringen etter den andre: 
«I liked you from the start, you melt my icy heart». 
Nensomt servert etter alle nødrimenes kunster og regler. 
Det gjør det heller ikke bedre at han etter «Oah» høres ut som en ku når han synger «mooah». 

Mangler det mesteMest av alt låter fesjået som om et kobbel med rallende amatørmusikanter, av typen du ser på et lasteplan når det er fest i den lokale handlegaten, tolke The Beatles i bakrus. 

Det er ikke noe galt i å være folkelig, og det er nok mange som måtte spise en hatt og to etter at «Fairytale» tok jerngrep om folkesjela. 
Problemet er bare at «Oah» verken overrasker, har den eksotiske x-faktoren eller er under noen omstendigheter morsom. 
Det er bare en håpløs tafatt og plump affære som ikke kommuniserer i noen retninger. 
",original 50
"Tafatt , banal og full av nødrim Alexander Rybak på kanten av artistisk død . ||| LÅT : Det er ikke småtteri hva en fiolin , et bredt smil og en over gjennomsnittet vanedannende melodi kan utrette . Om litt over en uke setter over 100 millioner mennesker seg foran TV for å bivåne musikalske postkort fra hele verden . Sendt fra Oslos nye stadion , Telenor Arena . Det skal Alexander Rybak ha all ære for . Ett år har gått , og den tidligere MGP-helten har allerede begynt å snakke om å abdisere som popartist . Avgangen kan komme tidligere enn forventet . Skal man dømme etter « Oah » , Rybaks ode til « en altfor ung jente » , er han på god vei til et selvmord . Ingen unnskyldningKatastrofale « Fela igjen » var muligens et humoristisk sidespor , i så måte er det ikke mye bot å hente i « Oah » . Musikalsk er den minst like banal , uten noe å gjemme seg bak . Med håndklapp , ompakomp av gneldrende fioliner , lekser Rybak i vei den en loslitte kjærlighetserklæringen etter den andre : « I liked you from the beginning , you melt my icy heart » . Nensomt og med alle nødrimenes kunster og regler . Det gjør det heller ikke bedre at han etter « Oah » ser ut som en ku når han sier « mooah » . For det mesteMest av alt låter det som om et band med rallende amatørmusikanter , av typen du ser på en lasteplan når det er fest i den lokale handlegaten , spiller The Beatles i bakrus . Det er ikke noe galt i å være folkelig , men det var nok mange som måtte spise en hatt eller to etter at « Fairytale » tok jerngrep på folkesjela . Problemet er bare at « Oah » verken overrasker , har den eksotiske x-faktoren eller er under nogen måte morsom . Det er bare en håpløs tafatt og plump affære som ikke går i noen form .",augmented 50
"Frykt og avsky
At «Scary Movie 5» eksisterer er et bevis på at verden er skumlere enn du tror. 

FILM: 
Når Snoop 
Dogg er den beste skuespilleren i filmen din, har du et problem. 
«Hjernen» bak «komedien» «Scary Movie 5» har opptil flere. 
Ett av dem er at skrekkfilmsjangeren, som på mange måter selv er sin egen karikatur, bare har en håndfull konvensjoner å parodiere - og at disse allerede har blitt parodiert så brutalt og lenge av de fire første «Scary Movie»-filmene at de ligger blødende i et hjørne og gisper etter luft. 

Do-humor 

Dermed må femte kapittel lete etter andre inspirasjonskilder, og her er det «Inception» og «Black Swan» som får unngjelde. 
Sammen med fire skrekkfilmer av året, «Mama», «Paranormal Activity 4», «Dark Skies» og «Sinister», blir de tre år gamle thrillerne kjørt gjennom «Scary Movie»-kverna og kommer ut som en slimete farse. 
Poenget med hele prosjektet er øyensynlig å påpeke at mennesker har kropper og at de med jevne og, her, hyppige mellomrom lager lyder og utskiller væske. 
Familien i hovedrollen har en tykk, meksikansk hushjelp, og manusforfatterne er overbevist om at det er stor moro å la henne 1) gå rundt i bikinien til den sylfideslanke arbeidsgiveren og 2) gå på do. 
Andre grep er å vise eller antyde sex mellom enhver tenkelig kombinasjon av mennesker og husholdningsgjenstander. 

Sheen og Lohan 

Et av sexmøtene skjer i åpningsscenen, mellom Charlie Sheen og Lindsay Lohan, som stadig kolliderer i hverandres promillemålere og fotlenker og puteprater om hvilke dommere i Los Angeles som er best og verst å komme ut for. 
Ideen er ganske god, men det lyser av den mekaniske fremføringen at det er behov for mer lommepenger vel så mye som lekelyst og selvironi som har fått de to til å tre inn på rollelisten. 

Produksjonsdesignet er grusomt og klippingen er gjort med hagesaks. 
Det eneste som får «Scary Movie 5» til å leve opp til tittelen, er tanken på at makkverket kostet tyve millioner dollar å lage - og åpnet som nummer 2 i USA. 
Det betyr en pen fortjeneste til folka som fant ut at det var deres store oppgave å vise verden at en schäferhund kan ha sex med en støvsuger. 
Og det er faktisk til å få mareritt av. 
",original 51
"Frykt og avsky At « The Movie 5 » eksisterer er et bevis på at verden er skumlere enn du tror . FILM : Hvis Snoop y er den beste skuespilleren i filmen din , har du et problem . « Hjernen » og « komedien » « The Movie 5 » har opptil flere . En av disse er at filmen , som på mange måter selv er sin egen karikatur , bare har en rekke filmer å parodiere - og at de allerede har blitt parodiert så brutalt og lenge i de fire første « Scary Movie » -filmene at de ligger blødende i et hjørne og gisper etter luft . Do-humor en må femte kapittel lete etter andre inspirasjonskilder , og her er det « Inception » og « Black Mirror » som får unngjelde . Sammen med fire filmer av året , « Mama » , « Paranormal Activity 4 » , « Dark Skies » og « Sinister » , blir de tre år gamle thrillerne kjørt gjennom « Scary Movie » -kverna og kommer ut som en slimete farse . Målet med hele prosjektet er øyensynlig å påpeke at mennesker har kropper og at de med jevne eller , her , hyppige mellomrom lager lyder og utskiller væske . Familien i hovedrollen har en tykk , meksikansk hushjelp , og de er overbevist om at det er stor moro å se henne 1 ) gå rundt i huset til den sylfideslanke arbeidsgiveren og 2 ) gå på do . Andre grep er å vise eller antyde sex mellom enhver tenkelig gruppe av mennesker og husholdningsgjenstander . Charlie og Lohan Et av disse skjer i åpningsscenen , mellom Charlie Sheen og Lindsay Lohan , som stadig kolliderer med hverandres promillemålere og fotlenker og snakker om hvilke dommere i Los Angeles som er best og verste å komme ut for . Filmen er ganske god , men det lyser gjennom den mekaniske fremføringen at det er behovet for mer lommepenger vel så mye som lekelyst og selvironi som har fått disse to til å tre inn på scenen . Det er grusomt og klippingen er gjort med hagesaks . Det eneste som får « The Movie 2 » til å leve opp til navnet , er tanken på at filmen kostet tyve millioner dollar å lage - og endte som nummer 2 i USA . Det betyr en pen fortjeneste til folka som fant ut at det var deres store oppgave å vise verden at en schäferhund kan ha sex med en støvsuger . Og det er faktisk til å få mareritt av .",augmented 51
"Impotent pornoparodi
Kunstneren bak «Jordbærmus» har laget en like meningsløs klubbkalkun. 

Låt: 
Jeg liker Aune Sand. 
Han byr på seg selv som få andre, enten han personifiserer motivene samboeren er kjent for å male eller kommer som en spirituell «Special-Jesus». 

Nå er deler av hans lett overomtalte pengefabrikk av en bok, «Jordbærmus», ute som låt. 
Ved hjelp av den StarRoc-affilierte Martin Kleveland på produksjon og Sofie Rose på et ufattelig amatøraktig refreng, byr kunstneren på en like meningsløs klubbkalkun. 

Den oppsiktsvekkende daffe erotika-dancen kan minne om en humorblottet versjon av Gunthers «Ding Dong Song» og en impotent pornoparodi av Baz Luhrmanns «Everybody's Free (To Wear Sunscreen)». 

Men det er ingen pinlig berøring her. 
Det barometeret ble sprengt i filler av den grusomme Tix-låta tidligere i år. 
Og apropos russelåt - «Jordbaermus» er ikke god nok til å drikke seg sanseløs til på Tryvann engang. 

Den tørre kvasipoesien går inn det ene øret og ut det andre, kanskje med unntaket av «Jeg tok henne bakfra. 
Jeg elsket det» - som akkurat er nok til at Serge Gainsbourg holder midtfingeren opp fra grava. 

«Jordbaermus» inneholder selvsagt ingen overraskelser - annet enn at Aune Sand ikke klarer å vekke en eneste følelse. 
Verken letthet, humor eller engang avsky. 

Det er altså slik at låten ikke gjør noen verdens ting med deg. 
Den bare er. 
Og den er sykt ræva. 
",original 52
"Impotent pornoparodi Kunstneren bak « Jordbærmus » har laget en helt meningsløs klubbkalkun . Låt : Jeg liker Aune Sand . Han byr på seg selv som få andre , enten han personifiserer motivene han er kjent for å ha eller kommer som en slags « Special-Jesus » . Nå er deler av hans lett overomtalte pengefabrikk i en bok , « Jordbærmus » , ute på låt . Med hjelp av den StarRoc-affilierte Martin Kleveland på produksjon og Sofie Rose på et ufattelig amatøraktig refreng , byr kunstneren på en like meningsløs klubbkalkun . Den oppsiktsvekkende daffe erotika-dancen kan minne om en humorblottet versjon av Gunthers « Ding Dong Song » eller en impotent versjon av Baz Luhrmanns « It Is Right ( To Wear Sunscreen ) » . Men det er en pinlig berøring her . Det barometeret ble bit i filler av den grusomme Tix-låta tidligere i år . Og årets russelåt - « Jordbaermus » er ikke god nok til å drikke seg sanseløs til på Tryvann engang . Den tørre stemmen går inn det ene øret og ut det andre , kanskje med unntak av « Jeg tok henne » . Jeg elsket det » - som akkurat er nok til at Charlotte i holder midtfingeren væk fra grava . « Jordbaermus » inneholder selvsagt ingen overraskelser - annet enn at Aune Sand ikke klarer å vekke en eneste følelse . Verken letthet , humor eller engang avsky . Det er altså slik at låten ikke gjør all verdens ting med deg . Den bare er . Og den er sykt ræva .",augmented 52
"Trine Rein og Lars Monsen går seg vill i musikklandskapet
Sfærisk new age-søl. 
Skal det være lyden av Femundløpet? 

LÅT: 
Ikke et stygt ord om Femundløpet, et langdistanseløp for hunder: en tøff manndomsprøve for både to- og firbeinte. 

Så hvorfor ikke ha en egen låt, en sang- og melodisignatur? 

Så langt, alt vel. 
Men hva har arrangørene fått? 

Lars Monsen 
Et sfærisk, klisjéfylt tablå dynket i new age-søl og sprøytet utover Rørosmarka med gjødselspreder. 

Et eksempel på at det må være lettere å gå over Grønland og Alaska enn å lage en god låt. 

For en av låtskriverne er nemlig Lars Monsen, og med all respekt - dette kan han ikke. 

Heller ikke kjæresten hans, Trine Rein - eller de to andre som står kreditert «When heroes are made», Øystein Lund Olafsen og Mikkel Gaup. 

Total skivebom 
Isolert sett er dette heismusikk som kunne vært kuttet ned til 15 sekunder i en eller annen filmsnutt. 

Men et løp som dette krever noe fysisk, noe med substans, energi og potens: 

Kort sagt et rocka kraftfôr for å kunne stå han av. 
Ikke dette tannløse, blodfattige jåleriet. 
",original 53
"Trine Rein og Lars Monsen går seg vill i musikklandskapet s new age . Kan det være lyden av Femundløpet ? LÅT : Ikke et stygt ord om Femundløpet , et langdistanseløp for hunder : en tøff manndomsprøve for både to og firbeinte . Så hvorfor ikke ha en egen låt , egen sang- og melodisignatur ? Så langt , alt vel . Men hva har vi fått ? Lars Monsen Et sfærisk , klisjéfylt tablå dynket i new age-søl og sprøytet utover Rørosmarka med gjødselspreder . Et eksempel på at det kan være lettere å gå over Grønland til Alaska enn å skrive en god låt . For en av dem er nemlig Lars Monsen , og med all respekt - dette kan han ikke . Heller ikke kjæresten hans , Trine Rein - eller de to andre som står bak « When heroes are made » , Øystein Lund e og Mikkel Gaup . Total skivebom Isolert sett er dette noe som kunne vært kuttet ned til 15 sekunder i en eller annen filmsnutt . Men et løp som dette krever noe fysisk , noe med substans , energi og potens : Kort sagt et rocka kraftfôr for å kunne stå han av . Ikke dette tannløse , blodfattige jåleriet .",augmented 53
"Et oppslagsverk i smakløse fusjoner
Enrique Iglesias serverer mentalt kløpulver. 

ALBUM: 
Det er jaggu ikke lett å vitet hvor man skal begynne her. 
Latino-loverboy numero uno, Enrique Iglesias har klasket hodet sitt sammen med Pitbull, Flo Rida, Kylie Minogue og selvsagt latinoførstedame, J-Lo på det som blir sangerens tiende album. 

La oss være raus nok til å si at dersom du kommer deg helskinnet gjennom denne seasen er du usedvanlig tålmodig. 
Eventuelt usedvanlig spesielt interessert. 

Komboen dubstep, autotune og hardpakkede latinorytmer fungerer som mentalt kløpulver allerede før åpningslåten «I'm a Freak» har forsvunnet fra høytalerne. 
Når Flo Rida server plastfunk i neste låt, «There Goes My Baby», føles det nesten som en lettelse. 
Enn så lenge. 

Hele platen er mer eller mindre et oppslagsverk i smakløse fusjoner, standardiserte arrangementer og platte tekstlinjer. 
Tittelen kommer etter sigende av at sex og kjærlighet er noe hele verdens befolkning kan relatere til. 
Joda. 
",original 54
"Et liv i smakløse fusjoner Enrique Iglesias serverer mentalt kløpulver . ALBUM : Det er jaggu ikke lett å vite hvor man skal begynne her . Latino-loverboy numero uno , Enrique Iglesias har klasket hodet sitt sammen med Rihanna , Flo Rida , Kylie Minogue og selvsagt latinoførstedame , J-Lo på det som er hans tiende album . La meg være raus e til å si at dersom du kommer deg helskinnet gjennom denne seasen er du usedvanlig heldig . Eventuelt usedvanlig spesielt interessert . Komboen dubstep , autotune og hardpakkede latinorytmer fungerer som mentalt kløpulver lenge før låta « I 'm a Freak » har forsvunnet fra høytalerne . Når Flo Rida server er i neste låt , « There Goes My Baby » , føles det nesten som en lettelse . Enn så länge . Hele platen er mer eller mindre et oppslagsverk i smakløse fusjoner , standardiserte arrangementer og platte tekstlinjer . Tittelen kommer etter sigende av at sex og kjærlighet er noe hele Norges befolkning kan relatere til . Joda .",augmented 54
"Bedriten i flere dimensjoner
«My Bloody Valentine - 3D». 

FILM: 

Jeg grugledet meg til en skrekkopplevelse utenom det vanlige, med dybde i bildet og stikkvåpen tytende ut av lerretet. 
Dessverre gikk jeg skuffet fra salen. 

3D-teknologi i animert film og i spillefilm representerer tydeligvis to vidt forskjellige verdener. 
Og hvis «My Bloody Valentine – 3D» representerer framtida for 3D-spillefilmen, går vi virkelig en mørk tid i møte. 
Jo da, det er dybde i bildet og ting farer tilsynelatende mot oss, men er prisen verdt å betale? 
Det er mildt sagt enerverende når skuespillerne alltid er midtstilt i bildet, fotografert fra magen og opp, når bakgrunnen til stadighet blir dimmet ned til det ugjenkjennelige og når bevegelser skjer i treigt tempo – alt for å skape en illusjon av tre dimensjoner. 
Fokuset er tydeligvis utelukkende blitt rettet mot det teknologiske. 
Og da hjelper det lite at historien er dummere enn brød og at skuespillerensemblet er hentet fra B-laget. 

Nå er ikke slashersjangeren kjent for kvalitet, men for sin overdrevne bruk av gørr, blod og gru, blandet med humor. 
Patrick Lussiers nyinnspilling er dessverre bare triste greier. 
Riktignok i 3D. 
",original 55
"Bedriten i tre dimensjoner « My Bloody Valentine - 3D » . FILM : Jeg grugledet meg til en film utenfor det vanlige , med dybde i bildet og stikkvåpen tytende ut av lerretet . Dessverre gikk jeg skuffet fra salen . 3D-teknologi i animert film og i spillefilm er tydeligvis to helt forskjellige verdener . Og hvis « My Bloody Valentine – 3D » er framtida for 3D-spillefilmen , går vi virkelig en spennende fremtid i møte . Jo da , det er dybde i bildet og ting farer tilsynelatende mot oss , men er prisen verdt å betale ? Det er mildt sagt enerverende når skuespillerne alltid er midt i bildet , fotografert fra magen og ned , når bakgrunnen til tider er dimmet ned til det ugjenkjennelige og når alt skjer i treigt tempo – alt for å skape en illusjon av tre dimensjoner . Fokuset har tydeligvis utelukkende blitt rettet mot det teknologiske . Og da hjelper det lite at historien er dummere enn brød og at den er hentet fra B-laget . Nå er ikke slashersjangeren kjent for kvalitet , men for sin overdrevne bruk av gørr , blod og gru , blandet med humor . Patrick Lussiers nyinnspilling er ikke bare triste greier . Riktignok i 3D .",augmented 55
"Et monster i Prada
Årets foreløpige bunnpunkt. 

FILM: 
Nåde. 
Jeg tilstår det. 
Det var meg, alt sammen. 
JFK. 
Martin Luther King jr. 
Jeg sto bak NOKAS-ranet. 
Jeg spiste halvparten av Mammas twistpose fra kjøleskapet, satte metallklemmen på og lot som ingenting. 
Jeg tilstår alt. 
Bare slipp meg ut herfra. 
Få meg vekk fra Rebecca Bloomwood, dette skrekkelige mennesket, som mister tanke for alt annet bare en utstillingsdokke i sort plastikk vifter et silkeskjerf foran øynene på henne. 

«Frisk luft» 
Den shoppinggale journalisten Rebecca Bloomwood (Isla Fisher) er ikke bare dum. 
Hun er høylytt, skrikende dum. 
Hun er egoistisk og ukontrollert, blottet for kunnskap og humor. 
Og det sier faen meg sitt om kvinnesynet i denne filmen at det forventes at vi skal synes at hun er søt og sjarmerende, at den flinke redaktøren med det skjeve smilet blir betatt av henne, og at mennene i dress, de som har peiling, synes hun er et «pust av frisk luft» når hun påpeker at utstillingene i vinduene til bankene de leder er kjedelige. 

Grotesk Forresten: 
Når Rebecca nå først har klart å opparbeide seg en kredittkortgjeld på sytti tusen kroner, kunne hun ikke i det minste brukt pengene på noe pent? 
Ved å kle hovedpersonen opp i den ene groteske Prada-kollasjen etter den andre forteller filmskaperne at mote ikke har noe med estetikk eller identitet å gjøre, det er ene og alene utslag for uvettig hunger etter designermerker. 
Det er en observasjon som verken er riktig eller morsom. 

En kinobillett koster omtrent en hundrelapp. 
Det holder til en helt grei singlett på H&M;, og det er en langt mer givende investering. 
Ta pengene og løp. 
Det er for seint for meg. 
Men du kan fremdeles komme deg unna. 
",original 56
"Et monster i Prada Årets foreløpige bunnpunkt . FILM : Nåde . Jeg tilstår det . Det var meg , alt sammen . JFK . Martin Luther King jr . Jeg sto bak NOKAS-ranet . Jeg tok halvparten av en twistpose i kjøleskapet , satte metallklemmen på og lot som ingenting . Jeg tilstår alt . Bare slipp meg ut herfra . Få meg bort fra Rebecca Bloomwood , dette skrekkelige mennesket , hun mister interesse for alt når når en utstillingsdokke av sort plastikk med et silkeskjerf foran hodet på henne . » Frisk luft » Den unge journalisten Rebecca Bloomwood ( Isla Fisher ) er ikke bare dum . Hun er dum , skrikende dum . Hun var egoistisk og ukontrollert , blottet for kunnskap og humor . Og det sier for meg sitt om kvinnesynet i denne filmen at det forventes at alle skal synes at hun er søt og sjarmerende , at den flinke mannen med det skjeve smilet blir betatt av henne , og at mannen i dress , de som har peiling , synes hun er et « pust av frisk luft » når hun påpeker at bildene i vinduene til bankene hun leder er kjedelige . Grotesk Forresten : Når hun nå først har klart å skaffe seg en kredittkortgjeld på sytti tusen kroner , kunne hun ikke i det minste brukt pengene på noe fornuftig ? Ved å kle hovedpersonen opp i den en groteske Prada-kollasjen etter den andre forteller filmskaperne at mote ikke har noe med estetikk eller identitet å gjøre , men er ene og alene uttrykk for en jakt etter designermerker . Dette er en observasjon som verken er riktig eller morsom . En kinobillett koster omtrent en euro . Det holder med en helt grei singlett fra H & M ; , men det er en langt mer givende investering . Ta pengene og løp . Det var for seint for meg . Men du kan fremdeles holde deg unna .",augmented 56
"Ung pike forsvunnet
«Noe dritt å ha fans på størrelse med fjøsnisser når du egentlig er en dødssexy rockstjerne.» 

||| 
ALBUM: 
Det må være noe dritt å ha egne pennalhus og fans på størrelse med fjøsnisser når du egentlig er en dødssexy rockstjerne. 

Se på disse lange beina, skal de bare gjemmes under foldeskjørtene til Hannah Montana fram til jeg er 18 lizm? 
Do-on-t think so! 

Fjerde og siste sesong som Disney-stjerna «Hannah Montana» er innledet, og hovedpersonen korter ned ventetida med å gi ut korte album med tøffere poprock som forhåpentlig skal bane veien inn til voksenverden. 

Problemet er bare at Miley virker til å være alene om dette prosjektet. 

Produsentene saboterer troverdigheten med å klasse på alle de poptriksa de kan, billige ekkoeffekter og dustete autotunerefreng som looper gjennom låtene og fjerner ethvert tilløp til identitet. 

Vedkommende i Team Miley som skulle instruere den rå og unge stemmen hennes, har tydeligvis ikke møtt på jobb og låtmaterialansvarlig har fått tak i noe dårlig shit som nok egentlig skulle til hennes lavtlønnede kollega Ali Lohan. 

Når hele utgivelsen teller åtte spor, hjelper det heller ikke på investeringsviljen at hitsangen «Before The Storm» med The Jonas Brothers av uforståelige grunner er et liveopptak, eller at åpningssporet ble gitt ut av Ashlee Simpson i 2005. 
",original 57
"Ung pike forsvunnet « Noe dritt å ha fans på størrelse med fjøsnisser når du egentlig er en dødssexy rockstjerne. » </s> ALBUM : Det må være noe dritt å ha egne pennalhus og fans på størrelse med fjøsnisser når du egentlig er en dødssexy rockstjerne . Se på de lange beina , skal de bare gjemmes under foldeskjørtene til Hannah Montana fram til hun er 18 år ? I think so ! Fjerde og siste sesong med heter « Hannah Montana » er innledet , og hovedpersonen korter ned ventetida ved å gi ut et album med tøffere poprock som forhåpentlig skal finne veien inn i voksenverden . Problemet er bare at Miley virker til å være alene om dette prosjektet . De saboterer troverdigheten ved å klasse inn alle de poptriksa de kan , billige ekkoeffekter og dustete autotunerefreng som looper gjennom låtene og fjerner ethvert tegn til identitet . Vedkommende i Team Miley som skulle instruere den vakre e unge stemmen hennes , har tydeligvis ikke vært på jobb og låtmaterialansvarlig har fått tak i noe dårlig shit som nok egentlig skulle til hennes lavtlønnede kollega Ali Lohan . Siden hele utgivelsen inneholder åtte spor , hjelper det heller ikke på saken at hitsangen « Before The Storm » med The Jonas Brother av uforståelige grunner er et liveopptak , eller at den ble gitt ut av Ashlee Simpson i 2005 .",augmented 57
"Hvorfor, Gaute, hvorfor?
Anmeldelse: 
Gaute Grøtta Grav - «Julesangen» 

LÅT: 
I går holdt Gaute Grøtta Grav fortet i årets Farmen-finale. 
Det første spørsmålet ble innledet ved at Gaute tok en trall fra en kjent og kjær vise. 
Det var ikke spesielt pent. 
I dag slipper han en egen julesingel. 
Det er fortsatt ikke pent. 

Gaute laller i vei med en sørgende trompet som tonefølge, kompet ligger passe bakpå (sånn for julefredens skyld) og klokkespillet kimer lett i det fjerne. 
Mest av alt fortoner låten seg som en konstatering av faktiske forhold: 
«Lysa er tent, alle gjør seg klar, ungan spring rundt treet, finstasen er på». 
Litt mer trompetgråt. 
«Snøen ligg kvit på trea, det er stille bak kvar ei grind, så banka det på døra, det er nissen som vil inn». 
Trompetgråt og modulasjon... og så videre. 

Teksten er like klisjétung som arrangementet er lærebokbasert. 
Isoltert sett er ikke det noen stor krise. 
Julesanger er jo naturlig nok en tradisjonspreget øvelse. 
Men når formidlingsevnen er totalt fraværende og melodien paddeflat, så er det ikke mye igjen å rope hurra for. 
Gaute snakkesynger seg gjennom hele seansen, og det virker nesten som han ikke helt stoler på sin egen stemme. 

Egentlig sitter man bare igjen med det åpne spørsmålet: 
Hvorfor, Gaute, hvorfor? 
",original 58
"Hvorfor , Gaute , hvorfor ? Anmeldelse : Gaute Grøtta Grav - « Julesangen » LÅT : I går holdt Gaute Grøtta Grav fortet i årets Farmen-finale . Det første spørsmålet ble innledet med at Gaute tok en trall fra en kjent og kjær vise . Det var ikke spesielt pent . I dag slipper han sin egen julesingel . Det er det ikke pent . Gaute laller i gang med en sørgende trompet som tonefølge , kompet ligger passe bakpå ( sånn for julefredens skyld ) og det kimer lett i det fjerne . Mest av alt fortoner låten seg som en beskrivelse av faktiske forhold : « Lysa er på , alle gjør seg klar , ungan spring rundt treet , finstasen er på » . Litt mer trompetgråt . « Snøen er kvit på trea , det er stille bak kvar ei grind , så banker det på døra , det er nissen som vil inn » . Trompetgråt og modulasjon ... og så videre . Teksten er like klisjétung som den er lærebokbasert . Isoltert sett er ikke dette noen stor krise . Julesanger er jo naturlig nok en tradisjonspreget øvelse . Men når formidlingsevnen er totalt fraværende og melodien paddeflat , så er det ikke mye igjen å rope hurra for . Gaute snakkesynger seg gjennom hele seansen , og det virker nesten som han ikke helt tror på sin egen stemme . Egentlig sitter man bare igjen med det åpne spørsmålet : Hvorfor , hvorfor , hvorfor ?",augmented 58
"«Nødrim over 80-talls bicepsrock med romklang, den så de ikke komme.»
Slik rammer Jan Bøhler det blåblå regjeringsalternativet. 
Terningkast: umulig. 

LÅT: Groruddalen, kveld. 
Resten av Oslo er langt der nede. 
Jan Bøhler er nettopp kommet hjem etter en åtte mils terrengsykkeltur i Lillomarka. 
Det stinkende sykkeltøyet blir liggende oppå noen sakspapirer om endringer i Straffeprosesslovens § 242 a. 

En telefon til Arild 
Han kommer ut av dusjen, tillater seg for en gangs skyld å dra noen hårprodukter gjennom luggen. 
Han flekser bicepsen i speilet, drar på seg en sliten svart t-skjorte (Bøhler sluttet å ha t-skjorter med ermer allerede på slutten av 70-tallet, som en av de første i Norge) og setter seg i sofaen. 
Han slår en telefon til Arild Rønsen, gammel kompis det alltid er inspirerende å snakke med. 
Han fikk alltid et kick av å prate om råkk med Arild - og lyst til å skrive låter. 
Gitar i fanget. 
Blokk og penn. 

«Kan jeg rime 'dvalen' på 'kongepokalen'?». 

Bøhler føler seg som John Mellencamp. 
Som Rick Springfield. 
Nesten som Bruce Springsteen da han skrev eksistensialistisk småbypoesi midt på 70-tallet. 
Like tøff som Ulf Lundell. 
«Groruddalen gjør meg vill og galen». 

Han slår hardt på nylonsstrengene, ser for seg et hardt, hvitt rytmespor, kanskje litt synth bak der, jentekor, hoggende gitar, og en slik klang han elsket fra LP-platene han hadde spart på fra 80-tallet, de som nå sto oppe på loftet i en pappeske under permer med sakspapirer fra et langt, rikt liv i politikken. 

Kjetil Trys masterplan 
I all medlidenhet hopper jeg over de andre scenene som følger etter dette. 

Innsalget og koordineringen med Arbeiderpartiets valgkampapparat får Ricky Gervais' «The Office» til å framstå som et sobert Bergman-drama. 

Videoinnspillingen, med behind-the-scenes-klipp, vil ende opp som en etterlengtet dokumentarfilm som får kinovisning — den beste norske musikkfilmen siden «Get Ready to be Boyzvoiced». 

Og langt senere, den dramatiserte, Oscar-nominerte historien om hvordan Kjetil Try klekket ut sin masterplan: 
Jens Stoltenbergs taxisjåførstunt var bare et distraherende sidespor i kampen om å velte det blåblå regjeringsalternativet med en viral suksessvideo med en muskuløs justispolitisk talsmann i ermeløs t-skjorte som synger en låt «han har mekka sjæl». 

En dag og en femsifret antall YouTube-visinger etterpå, vet Erna og Siv fortsatt ikke hva som nettopp har truffet dem. 
Nødrim over 80-talls bicepsrock med romklang, den så de ikke komme. 
",original 59
